tick,scenario,enabled,gini,gini_post_transfer,poverty_rate,poverty_rate_post_transfer,beneficiaries,coverage_ratio,graduated_total,fund_balance,total_transfers,total_surtax_collected,benefit_per_capita,eligibility_threshold
0,1_baseline,0,0.5176,0.5176,0.56,0.56,0,0.0,0,0.0,0.0,0.0,5.0,80.0
1,1_baseline,0,0.4961,0.4961,0.545,0.545,0,0.0,0,0.0,0.0,0.0,5.0,80.0
2,1_baseline,0,0.4965,0.4965,0.55,0.55,0,0.0,0,0.0,0.0,0.0,5.0,80.0
3,1_baseline,0,0.4969,0.4969,0.555,0.555,0,0.0,0,0.0,0.0,0.0,5.0,80.0
4,1_baseline,0,0.4973,0.4973,0.56,0.56,0,0.0,0,0.0,0.0,0.0,5.0,80.0
5,1_baseline,0,0.4978,0.4978,0.565,0.565,0,0.0,0,0.0,0.0,0.0,5.0,80.0
6,1_baseline,0,0.4983,0.4983,0.575,0.575,0,0.0,0,0.0,0.0,0.0,5.0,80.0
7,1_baseline,0,0.4988,0.4988,0.58,0.58,0,0.0,0,0.0,0.0,0.0,5.0,80.0
8,1_baseline,0,0.4994,0.4994,0.58,0.58,0,0.0,0,0.0,0.0,0.0,5.0,80.0
9,1_baseline,0,0.4999,0.4999,0.585,0.585,0,0.0,0,0.0,0.0,0.0,5.0,80.0
10,1_baseline,0,0.5006,0.5006,0.59,0.59,0,0.0,0,0.0,0.0,0.0,5.0,80.0
11,1_baseline,0,0.5014,0.5014,0.59,0.59,0,0.0,0,0.0,0.0,0.0,5.0,80.0
12,1_baseline,0,0.5023,0.5023,0.59,0.59,0,0.0,0,0.0,0.0,0.0,5.0,80.0
13,1_baseline,0,0.5032,0.5032,0.585,0.585,0,0.0,0,0.0,0.0,0.0,5.0,80.0
14,1_baseline,0,0.5041,0.5041,0.585,0.585,0,0.0,0,0.0,0.0,0.0,5.0,80.0
15,1_baseline,0,0.505,0.505,0.59,0.59,0,0.0,0,0.0,0.0,0.0,5.0,80.0
16,1_baseline,0,0.5059,0.5059,0.59,0.59,0,0.0,0,0.0,0.0,0.0,5.0,80.0
17,1_baseline,0,0.5072,0.5072,0.59,0.59,0,0.0,0,0.0,0.0,0.0,5.0,80.0
18,1_baseline,0,0.5085,0.5085,0.59,0.59,0,0.0,0,0.0,0.0,0.0,5.0,80.0
19,1_baseline,0,0.5098,0.5098,0.595,0.595,0,0.0,0,0.0,0.0,0.0,5.0,80.0
20,1_baseline,0,0.511,0.511,0.595,0.595,0,0.0,0,0.0,0.0,0.0,5.0,80.0
21,1_baseline,0,0.5123,0.5123,0.595,0.595,0,0.0,0,0.0,0.0,0.0,5.0,80.0
22,1_baseline,0,0.5136,0.5136,0.6,0.6,0,0.0,0,0.0,0.0,0.0,5.0,80.0
23,1_baseline,0,0.5152,0.5152,0.6,0.6,0,0.0,0,0.0,0.0,0.0,5.0,80.0
24,1_baseline,0,0.5167,0.5167,0.6,0.6,0,0.0,0,0.0,0.0,0.0,5.0,80.0
25,1_baseline,0,0.5183,0.5183,0.615,0.615,0,0.0,0,0.0,0.0,0.0,5.0,80.0
26,1_baseline,0,0.5198,0.5198,0.615,0.615,0,0.0,0,0.0,0.0,0.0,5.0,80.0
