tick,scenario,enabled,gini,gini_post_transfer,poverty_rate,poverty_rate_post_transfer,beneficiaries,coverage_ratio,graduated_total,fund_balance,total_transfers,total_surtax_collected,benefit_per_capita,eligibility_threshold
0,3b_corte_gradual,1,0.4607,0.4181,0.595,0.595,80,0.4,0,-404.82,960.0,555.18,12.0,90.0
1,3b_corte_gradual,1,0.393,0.3593,0.6,0.56,80,0.4,0,-844.74,1910.4,1065.66,12.0,90.0
2,3b_corte_gradual,1,0.3501,0.3223,0.565,0.5,80,0.4,0,-1319.54,2851.2,1531.66,12.0,90.0
3,3b_corte_gradual,1,0.3135,0.2916,0.5,0.38,80,0.4,0,-1818.22,3782.4,1964.18,12.0,90.0
4,3b_corte_gradual,1,0.2839,0.2667,0.39,0.36,80,0.4,0,-2373.83,4704.0,2330.17,12.0,90.0
5,3b_corte_gradual,1,0.2595,0.2463,0.365,0.255,80,0.4,0,-2947.44,5616.0,2668.56,12.0,90.0
6,3b_corte_gradual,1,0.24,0.2299,0.26,0.215,80,0.4,0,-3554.98,6518.4,2963.42,12.0,90.0
7,3b_corte_gradual,1,0.2238,0.2159,0.225,0.215,80,0.4,0,-4168.35,7411.2,3242.85,12.0,90.0
8,3b_corte_gradual,1,0.2104,0.2051,0.215,0.215,80,0.4,0,-4795.33,8294.4,3499.07,12.0,90.0
9,3b_corte_gradual,1,0.2011,0.1989,0.215,0.215,80,0.4,0,-5478.92,9168.0,3689.08,12.0,90.0
10,3b_corte_gradual,1,0.1953,0.1968,0.22,0.22,80,0.4,0,-6153.92,10032.0,3878.08,12.0,90.0
11,3b_corte_gradual,1,0.1925,0.1973,0.22,0.22,80,0.4,0,-6798.56,10886.4,4087.84,12.0,90.0
12,3b_corte_gradual,1,0.1908,0.1978,0.22,0.22,80,0.4,0,-7311.35,11731.2,4419.85,12.0,90.0
13,3b_corte_gradual,1,0.1889,0.1978,0.22,0.22,80,0.4,0,-7642.2,12566.4,4924.2,12.0,90.0
14,3b_corte_gradual,1,0.1882,0.1987,0.225,0.225,80,0.4,0,-7918.89,13392.0,5473.11,12.0,90.0
15,3b_corte_gradual,1,0.1885,0.1996,0.22,0.22,80,0.4,0,-8077.04,14208.0,6130.96,12.0,90.0
16,3b_corte_gradual,1,0.1888,0.2007,0.215,0.215,80,0.4,0,-8132.79,15014.4,6881.61,12.0,90.0
17,3b_corte_gradual,1,0.1896,0.202,0.22,0.22,80,0.4,0,-8179.17,15811.2,7632.03,12.0,90.0
18,3b_corte_gradual,1,0.1909,0.2036,0.22,0.22,80,0.4,0,-8188.95,16598.4,8409.45,12.0,90.0
19,3b_corte_gradual,1,0.1924,0.2051,0.22,0.22,80,0.4,0,-8207.13,17376.0,9168.87,12.0,90.0
20,3b_corte_gradual,1,0.1936,0.2063,0.235,0.235,80,0.4,0,-8215.3,18144.0,9928.7,12.0,90.0
21,3b_corte_gradual,1,0.1948,0.2077,0.235,0.235,80,0.4,0,-8213.95,18902.4,10688.45,12.0,90.0
22,3b_corte_gradual,1,0.1961,0.2091,0.235,0.235,80,0.4,0,-8212.21,19651.2,11438.99,12.0,90.0
