tick,scenario,enabled,gini,gini_post_transfer,poverty_rate,poverty_rate_post_transfer,beneficiaries,coverage_ratio,graduated_total,fund_balance,total_transfers,total_surtax_collected,benefit_per_capita,eligibility_threshold
0,4_subfinanciado,1,0.4685,0.4264,0.595,0.595,80,0.4,0,-848.96,960.0,111.04,12.0,90.0
1,4_subfinanciado,1,0.409,0.3759,0.6,0.56,80,0.4,0,-1698.88,1920.0,221.12,12.0,90.0
2,4_subfinanciado,1,0.374,0.3468,0.565,0.495,80,0.4,0,-2550.21,2880.0,329.79,12.0,90.0
3,4_subfinanciado,1,0.3451,0.3236,0.49,0.375,80,0.4,0,-3404.7,3840.0,435.3,12.0,90.0
4,4_subfinanciado,1,0.322,0.3049,0.385,0.35,80,0.4,0,-4262.29,4800.0,537.71,12.0,90.0
5,4_subfinanciado,1,0.3034,0.2901,0.355,0.23,80,0.4,0,-5121.19,5760.0,638.81,12.0,90.0
6,4_subfinanciado,1,0.2888,0.2781,0.235,0.215,80,0.4,0,-5983.15,6720.0,736.85,12.0,90.0
7,4_subfinanciado,1,0.2767,0.2683,0.215,0.215,80,0.4,0,-6844.55,7680.0,835.45,12.0,90.0
8,4_subfinanciado,1,0.267,0.2609,0.215,0.215,80,0.4,0,-7710.77,8640.0,929.23,12.0,90.0
9,4_subfinanciado,1,0.2597,0.2558,0.215,0.215,80,0.4,0,-8578.18,9600.0,1021.82,12.0,90.0
10,4_subfinanciado,1,0.2548,0.253,0.22,0.22,80,0.4,0,-9441.33,10560.0,1118.67,12.0,90.0
11,4_subfinanciado,1,0.2521,0.2526,0.22,0.22,80,0.4,0,-10288.5,11520.0,1231.5,12.0,90.0
12,4_subfinanciado,1,0.2516,0.2534,0.22,0.22,80,0.4,0,-11087.09,12480.0,1392.91,12.0,90.0
13,4_subfinanciado,1,0.2524,0.2553,0.22,0.22,80,0.4,0,-11869.3,13440.0,1570.7,12.0,90.0
14,4_subfinanciado,1,0.2544,0.2579,0.225,0.225,80,0.4,0,-12619.87,14400.0,1780.13,12.0,90.0
15,4_subfinanciado,1,0.2571,0.261,0.22,0.22,80,0.4,0,-13349.83,15360.0,2010.17,12.0,90.0
16,4_subfinanciado,1,0.2603,0.2646,0.215,0.215,80,0.4,0,-14067.85,16320.0,2252.15,12.0,90.0
17,4_subfinanciado,1,0.264,0.2687,0.22,0.22,80,0.4,0,-14777.37,17280.0,2502.63,12.0,90.0
18,4_subfinanciado,1,0.2681,0.2732,0.22,0.22,80,0.4,0,-15478.27,18240.0,2761.73,12.0,90.0
19,4_subfinanciado,1,0.2726,0.278,0.22,0.22,80,0.4,0,-16176.0,19200.0,3024.0,12.0,90.0
20,4_subfinanciado,1,0.2773,0.2829,0.235,0.235,80,0.4,0,-16868.81,20160.0,3291.19,12.0,90.0
21,4_subfinanciado,1,0.2823,0.2879,0.235,0.235,80,0.4,0,-17554.97,21120.0,3565.03,12.0,90.0
22,4_subfinanciado,1,0.2873,0.2929,0.235,0.235,80,0.4,0,-18234.53,22080.0,3845.47,12.0,90.0
23,4_subfinanciado,1,0.2924,0.2979,0.235,0.235,80,0.4,0,-18909.38,23040.0,4130.62,12.0,90.0
24,4_subfinanciado,1,0.2974,0.303,0.235,0.235,80,0.4,0,-19577.78,24000.0,4422.22,12.0,90.0
25,4_subfinanciado,1,0.3025,0.308,0.235,0.235,80,0.4,0,-20237.98,24960.0,4722.02,12.0,90.0
26,4_subfinanciado,1,0.3074,0.313,0.24,0.24,80,0.4,0,-20893.65,25920.0,5026.35,12.0,90.0
27,4_subfinanciado,1,0.3124,0.318,0.24,0.24,80,0.4,0,-21543.07,26880.0,5336.93,12.0,90.0
28,4_subfinanciado,1,0.3175,0.323,0.24,0.24,80,0.4,0,-22188.05,27840.0,5651.95,12.0,90.0
29,4_subfinanciado,1,0.3225,0.3275,0.24,0.24,80,0.4,0,-22828.64,28800.0,5971.36,12.0,90.0
30,4_subfinanciado,1,0.327,0.3314,0.24,0.24,80,0.4,0,-23367.07,29664.0,6296.93,12.0,90.0
31,4_subfinanciado,1,0.331,0.3349,0.24,0.24,80,0.4,0,-23804.38,30432.0,6627.62,12.0,90.0
32,4_subfinanciado,1,0.3344,0.3377,0.24,0.24,80,0.4,0,-24141.56,31104.0,6962.44,12.0,90.0
33,4_subfinanciado,1,0.3373,0.34,0.24,0.24,80,0.4,0,-24379.62,31680.0,7300.38,12.0,90.0
34,4_subfinanciado,1,0.3396,0.3417,0.24,0.24,80,0.4,0,-24517.76,32160.0,7642.24,12.0,90.0
35,4_subfinanciado,1,0.3401,0.3417,0.24,0.24,80,0.4,0,-24560.26,32544.0,7983.74,12.0,90.0
36,4_subfinanciado,1,0.3402,0.3412,0.24,0.24,80,0.4,0,-24506.28,32832.0,8325.72,12.0,90.0
37,4_subfinanciado,1,0.3397,0.3402,0.24,0.24,80,0.4,0,-24356.81,33024.0,8667.19,12.0,90.0
38,4_subfinanciado,1,0.3386,0.3386,0.24,0.24,0,0.0,80,-24112.78,33120.0,9007.22,12.0,90.0
39,4_subfinanciado,1,0.3227,0.3089,0.21,0.155,48,0.24,80,-24351.15,33696.0,9344.85,12.0,90.0
40,4_subfinanciado,1,0.3071,0.294,0.155,0.1,48,0.24,80,-24592.86,34272.0,9679.14,12.0,90.0
41,4_subfinanciado,1,0.2921,0.2798,0.1,0.02,48,0.24,80,-24837.86,34848.0,10010.14,12.0,90.0
42,4_subfinanciado,1,0.2779,0.2666,0.02,0.02,48,0.24,80,-25086.13,35424.0,10337.87,12.0,90.0
43,4_subfinanciado,1,0.2646,0.2542,0.02,0.01,48,0.24,80,-25339.42,36000.0,10660.58,12.0,90.0
44,4_subfinanciado,1,0.2522,0.2426,0.01,0.01,48,0.24,80,-25597.68,36576.0,10978.32,12.0,90.0
45,4_subfinanciado,1,0.2405,0.2319,0.01,0.01,48,0.24,80,-25860.88,37152.0,11291.12,12.0,90.0
46,4_subfinanciado,1,0.2297,0.2222,0.01,0.0,48,0.24,80,-26127.16,37728.0,11600.84,12.0,90.0
47,4_subfinanciado,1,0.22,0.2135,0.0,0.0,48,0.24,80,-26396.43,38304.0,11907.57,12.0,90.0
48,4_subfinanciado,1,0.2114,0.206,0.0,0.0,48,0.24,80,-26646.28,38880.0,12233.72,12.0,90.0
49,4_subfinanciado,1,0.204,0.1996,0.0,0.0,48,0.24,80,-26882.9,39456.0,12573.1,12.0,90.0
50,4_subfinanciado,1,0.198,0.1939,0.0,0.0,48,0.24,80,-27079.91,40032.0,12952.09,12.0,90.0
51,4_subfinanciado,1,0.1923,0.1884,0.0,0.0,48,0.24,80,-27275.37,40608.0,13332.63,12.0,90.0
52,4_subfinanciado,1,0.1868,0.1832,0.0,0.0,48,0.24,80,-27471.1,41184.0,13712.9,12.0,90.0
53,4_subfinanciado,1,0.1816,0.1782,0.0,0.0,48,0.24,80,-27663.26,41760.0,14096.74,12.0,90.0
54,4_subfinanciado,1,0.1766,0.1736,0.0,0.0,48,0.24,80,-27855.48,42336.0,14480.52,12.0,90.0
55,4_subfinanciado,1,0.172,0.1695,0.0,0.0,48,0.24,80,-28047.75,42912.0,14864.25,12.0,90.0
56,4_subfinanciado,1,0.168,0.166,0.0,0.0,48,0.24,80,-28236.27,43488.0,15251.73,12.0,90.0
57,4_subfinanciado,1,0.1644,0.163,0.0,0.0,48,0.24,80,-28422.84,44064.0,15641.16,12.0,90.0
58,4_subfinanciado,1,0.1615,0.1609,0.0,0.0,48,0.24,80,-28607.5,44640.0,16032.5,12.0,90.0
59,4_subfinanciado,1,0.1594,0.1605,0.0,0.0,48,0.24,80,-28790.25,45216.0,16425.75,12.0,90.0
60,4_subfinanciado,1,0.159,0.1624,0.0,0.0,48,0.24,80,-28972.89,45792.0,16819.11,12.0,90.0
61,4_subfinanciado,1,0.1609,0.1662,0.0,0.0,48,0.24,80,-29153.66,46368.0,17214.34,12.0,90.0
62,4_subfinanciado,1,0.1648,0.1711,0.0,0.0,48,0.24,80,-29332.56,46944.0,17611.44,12.0,90.0
63,4_subfinanciado,1,0.1696,0.1761,0.0,0.0,48,0.24,80,-29507.82,47520.0,18012.18,12.0,90.0
64,4_subfinanciado,1,0.1747,0.1812,0.0,0.0,48,0.24,80,-29681.26,48096.0,18414.74,12.0,90.0
65,4_subfinanciado,1,0.1797,0.1863,0.0,0.0,48,0.24,80,-29854.69,48672.0,18817.31,12.0,90.0
66,4_subfinanciado,1,0.1848,0.1913,0.0,0.0,48,0.24,80,-30028.13,49248.0,19219.87,12.0,90.0
67,4_subfinanciado,1,0.1898,0.1963,0.0,0.0,48,0.24,80,-30199.78,49824.0,19624.22,12.0,90.0
68,4_subfinanciado,1,0.1948,0.2006,0.0,0.0,48,0.24,80,-30369.66,50400.0,20030.34,12.0,90.0
69,4_subfinanciado,1,0.1991,0.2042,0.0,0.0,48,0.24,80,-30480.18,50918.4,20438.22,12.0,90.0
70,4_subfinanciado,1,0.2027,0.2071,0.0,0.0,48,0.24,80,-30531.94,51379.2,20847.26,12.0,90.0
71,4_subfinanciado,1,0.2056,0.2093,0.0,0.0,48,0.24,80,-30525.53,51782.4,21256.87,12.0,90.0
72,4_subfinanciado,1,0.2078,0.2109,0.0,0.0,48,0.24,80,-30461.53,52128.0,21666.47,12.0,90.0
73,4_subfinanciado,1,0.2094,0.2119,0.0,0.0,48,0.24,80,-30340.52,52416.0,22075.48,12.0,90.0
74,4_subfinanciado,1,0.2103,0.2122,0.0,0.0,48,0.24,80,-30163.05,52646.4,22483.35,12.0,90.0
75,4_subfinanciado,1,0.2106,0.2119,0.0,0.0,48,0.24,80,-29929.71,52819.2,22889.49,12.0,90.0
76,4_subfinanciado,1,0.2103,0.211,0.0,0.0,48,0.24,80,-29639.25,52934.4,23295.15,12.0,90.0
77,4_subfinanciado,1,0.2094,0.2094,0.0,0.0,0,0.0,128,-29295.81,52992.0,23696.19,12.0,90.0
78,4_subfinanciado,1,0.2077,0.2077,0.0,0.0,0,0.0,128,-28898.16,52992.0,24093.84,12.0,90.0
79,4_subfinanciado,1,0.2061,0.2061,0.0,0.0,0,0.0,128,-28502.63,52992.0,24489.37,12.0,90.0
80,4_subfinanciado,1,0.2044,0.2044,0.0,0.0,0,0.0,128,-28114.57,52992.0,24877.43,12.0,90.0
