tick,scenario,enabled,gini,gini_post_transfer,poverty_rate,poverty_rate_post_transfer,beneficiaries,coverage_ratio,graduated_total,fund_balance,total_transfers,total_surtax_collected,benefit_per_capita,eligibility_threshold,n_acima_180,gini_real,avg_wealth
0,5a_capital_return_5pct,1,0.4607,0.4181,0.595,0.595,80,0.4,0,-404.82,960.0,555.18,12.0,90.0,35,0.4615,110.6
1,5a_capital_return_5pct,1,0.3935,0.3598,0.6,0.56,80,0.4,0,-852.4,1920.0,1067.6,12.0,90.0,32,0.3942,116.0
2,5a_capital_return_5pct,1,0.3507,0.3231,0.565,0.495,80,0.4,0,-1342.93,2880.0,1537.07,12.0,90.0,30,0.3513,118.2
3,5a_capital_return_5pct,1,0.3142,0.2926,0.49,0.375,80,0.4,0,-1865.82,3840.0,1974.18,12.0,90.0,26,0.3147,120.5
4,5a_capital_return_5pct,1,0.2845,0.2677,0.385,0.35,80,0.4,0,-2454.57,4800.0,2345.43,12.0,90.0,24,0.285,123.2
5,5a_capital_return_5pct,1,0.2602,0.2475,0.355,0.23,80,0.4,0,-3070.34,5760.0,2689.66,12.0,90.0,22,0.2607,125.9
6,5a_capital_return_5pct,1,0.241,0.2312,0.235,0.215,80,0.4,0,-3729.23,6720.0,2990.77,12.0,90.0,22,0.2414,128.9
7,5a_capital_return_5pct,1,0.2247,0.2174,0.215,0.215,80,0.4,0,-4394.16,7680.0,3285.84,12.0,90.0,21,0.225,132.0
8,5a_capital_return_5pct,1,0.2116,0.2072,0.215,0.215,80,0.4,0,-5091.08,8640.0,3548.92,12.0,90.0,18,0.2119,135.1
9,5a_capital_return_5pct,1,0.2026,0.2018,0.215,0.215,80,0.4,0,-5827.88,9600.0,3772.12,12.0,90.0,17,0.2028,138.5
10,5a_capital_return_5pct,1,0.198,0.2011,0.22,0.22,80,0.4,0,-6574.56,10560.0,3985.44,12.0,90.0,25,0.1982,141.9
11,5a_capital_return_5pct,1,0.1965,0.2025,0.22,0.22,80,0.4,0,-7263.29,11520.0,4256.71,12.0,90.0,49,0.1966,145.0
12,5a_capital_return_5pct,1,0.1948,0.203,0.22,0.22,80,0.4,0,-7724.7,12480.0,4755.3,12.0,90.0,57,0.195,146.9
13,5a_capital_return_5pct,1,0.1948,0.2044,0.22,0.22,80,0.4,0,-8120.02,13440.0,5319.98,12.0,90.0,72,0.1949,148.5
14,5a_capital_return_5pct,1,0.1956,0.2061,0.225,0.225,80,0.4,0,-8375.31,14400.0,6024.69,12.0,90.0,81,0.1958,149.5
15,5a_capital_return_5pct,1,0.1972,0.2082,0.22,0.22,80,0.4,0,-8542.39,15360.0,6817.61,12.0,90.0,84,0.1975,150.0
16,5a_capital_return_5pct,1,0.1994,0.2107,0.215,0.215,80,0.4,0,-8685.56,16320.0,7634.44,12.0,90.0,85,0.1998,150.4
17,5a_capital_return_5pct,1,0.2021,0.2137,0.22,0.22,80,0.4,0,-8804.49,17280.0,8475.51,12.0,90.0,85,0.2026,150.7
18,5a_capital_return_5pct,1,0.2054,0.2171,0.22,0.22,80,0.4,0,-8908.17,18240.0,9331.83,12.0,90.0,83,0.2059,150.9
19,5a_capital_return_5pct,1,0.2089,0.2206,0.22,0.22,80,0.4,0,-9023.17,19200.0,10176.83,12.0,90.0,83,0.2095,151.3
20,5a_capital_return_5pct,1,0.2123,0.224,0.235,0.235,80,0.4,0,-9148.76,20160.0,11011.24,12.0,90.0,82,0.213,151.7
21,5a_capital_return_5pct,1,0.2157,0.2274,0.235,0.235,80,0.4,0,-9266.51,21120.0,11853.49,12.0,90.0,81,0.2163,152.2
22,5a_capital_return_5pct,1,0.2193,0.2309,0.235,0.235,80,0.4,0,-9376.22,22080.0,12703.78,12.0,90.0,81,0.2199,152.6
23,5a_capital_return_5pct,1,0.2228,0.2343,0.235,0.235,80,0.4,0,-9487.39,23040.0,13552.61,12.0,90.0,81,0.2234,152.9
24,5a_capital_return_5pct,1,0.2263,0.2376,0.235,0.235,80,0.4,0,-9573.41,24000.0,14426.59,12.0,90.0,81,0.2269,153.1
25,5a_capital_return_5pct,1,0.2296,0.2408,0.235,0.235,80,0.4,0,-9670.63,24960.0,15289.37,12.0,90.0,80,0.2302,153.4
26,5a_capital_return_5pct,1,0.2327,0.2438,0.24,0.24,80,0.4,0,-9769.97,25920.0,16150.03,12.0,90.0,80,0.2333,153.8
27,5a_capital_return_5pct,1,0.2357,0.2467,0.24,0.24,80,0.4,0,-9862.7,26880.0,17017.3,12.0,90.0,80,0.2363,154.0
28,5a_capital_return_5pct,1,0.2386,0.2495,0.24,0.24,80,0.4,0,-9949.14,27840.0,17890.86,12.0,90.0,80,0.2392,154.3
29,5a_capital_return_5pct,1,0.2415,0.2512,0.24,0.24,80,0.4,0,-10029.56,28800.0,18770.44,12.0,90.0,80,0.2421,154.5
30,5a_capital_return_5pct,1,0.2432,0.2518,0.24,0.24,80,0.4,0,-10008.26,29664.0,19655.74,12.0,90.0,80,0.2438,154.3
31,5a_capital_return_5pct,1,0.2438,0.2514,0.24,0.24,80,0.4,0,-9890.33,30432.0,20541.67,12.0,90.0,80,0.2444,153.5
32,5a_capital_return_5pct,1,0.2432,0.2498,0.24,0.24,80,0.4,0,-9680.6,31104.0,21423.4,12.0,90.0,80,0.2438,152.3
33,5a_capital_return_5pct,1,0.2417,0.2473,0.24,0.24,80,0.4,0,-9374.69,31680.0,22305.31,12.0,90.0,80,0.2423,150.6
