tick,scenario,enabled,gini,gini_post_transfer,poverty_rate,poverty_rate_post_transfer,beneficiaries,coverage_ratio,graduated_total,fund_balance,total_transfers,total_surtax_collected,benefit_per_capita,eligibility_threshold,n_acima_180,gini_real,avg_wealth
0,5b_capital_return_1pct,1,0.4685,0.4264,0.595,0.595,80,0.4,0,-848.96,960.0,111.04,12.0,90.0,36,0.4693,112.8
1,5b_capital_return_1pct,1,0.4099,0.3767,0.6,0.56,80,0.4,0,-1698.46,1920.0,221.54,12.0,90.0,36,0.4107,120.3
2,5b_capital_return_1pct,1,0.3758,0.3486,0.565,0.495,80,0.4,0,-2548.96,2880.0,331.04,12.0,90.0,35,0.3767,124.3
3,5b_capital_return_1pct,1,0.3478,0.3263,0.49,0.375,80,0.4,0,-3402.2,3840.0,437.8,12.0,90.0,34,0.3487,128.4
4,5b_capital_return_1pct,1,0.3255,0.3084,0.385,0.35,80,0.4,0,-4258.15,4800.0,541.85,12.0,90.0,34,0.3264,132.5
5,5b_capital_return_1pct,1,0.3078,0.2945,0.355,0.23,80,0.4,0,-5115.0,5760.0,645.0,12.0,90.0,33,0.3087,136.6
6,5b_capital_return_1pct,1,0.294,0.2833,0.235,0.215,80,0.4,0,-5974.53,6720.0,745.47,12.0,90.0,33,0.2949,140.8
7,5b_capital_return_1pct,1,0.2827,0.2742,0.215,0.215,80,0.4,0,-6833.12,7680.0,846.88,12.0,90.0,32,0.2836,144.9
8,5b_capital_return_1pct,1,0.2737,0.2674,0.215,0.215,80,0.4,0,-7696.19,8640.0,943.81,12.0,90.0,32,0.2745,149.0
9,5b_capital_return_1pct,1,0.267,0.2629,0.215,0.215,80,0.4,0,-8560.11,9600.0,1039.89,12.0,90.0,34,0.2678,153.2
10,5b_capital_return_1pct,1,0.2626,0.2605,0.22,0.22,80,0.4,0,-9419.43,10560.0,1140.57,12.0,90.0,45,0.2634,157.3
11,5b_capital_return_1pct,1,0.2602,0.2602,0.22,0.22,80,0.4,0,-10260.67,11520.0,1259.33,12.0,90.0,70,0.261,161.3
12,5b_capital_return_1pct,1,0.2599,0.2612,0.22,0.22,80,0.4,0,-11053.02,12480.0,1426.98,12.0,90.0,79,0.2607,165.1
13,5b_capital_return_1pct,1,0.261,0.2634,0.22,0.22,80,0.4,0,-11828.62,13440.0,1611.38,12.0,90.0,94,0.2619,168.9
14,5b_capital_return_1pct,1,0.2633,0.2663,0.225,0.225,80,0.4,0,-12572.05,14400.0,1827.95,12.0,90.0,102,0.2642,172.5
15,5b_capital_return_1pct,1,0.2664,0.2696,0.22,0.22,80,0.4,0,-13292.51,15360.0,2067.49,12.0,90.0,106,0.2673,176.2
16,5b_capital_return_1pct,1,0.2698,0.2734,0.215,0.215,80,0.4,0,-14002.17,16320.0,2317.83,12.0,90.0,107,0.2705,179.7
17,5b_capital_return_1pct,1,0.2735,0.2774,0.22,0.22,80,0.4,0,-14699.07,17280.0,2580.93,12.0,90.0,106,0.2742,183.2
18,5b_capital_return_1pct,1,0.2776,0.2818,0.22,0.22,80,0.4,0,-15388.47,18240.0,2851.53,12.0,90.0,105,0.2783,186.7
19,5b_capital_return_1pct,1,0.2819,0.2865,0.22,0.22,80,0.4,0,-16075.75,19200.0,3124.25,12.0,90.0,104,0.2826,190.2
20,5b_capital_return_1pct,1,0.2865,0.2914,0.235,0.235,80,0.4,0,-16755.52,20160.0,3404.48,12.0,90.0,103,0.2872,193.6
21,5b_capital_return_1pct,1,0.2914,0.2964,0.235,0.235,80,0.4,0,-17427.84,21120.0,3692.16,12.0,90.0,103,0.2921,197.1
22,5b_capital_return_1pct,1,0.2965,0.3015,0.235,0.235,80,0.4,0,-18094.54,22080.0,3985.46,12.0,90.0,102,0.2971,200.5
23,5b_capital_return_1pct,1,0.3016,0.3066,0.235,0.235,80,0.4,0,-18755.72,23040.0,4284.28,12.0,90.0,102,0.3023,203.8
24,5b_capital_return_1pct,1,0.3067,0.3116,0.235,0.235,80,0.4,0,-19409.61,24000.0,4590.39,12.0,90.0,102,0.3073,207.2
25,5b_capital_return_1pct,1,0.3118,0.3167,0.235,0.235,80,0.4,0,-20056.26,24960.0,4903.74,12.0,90.0,101,0.3124,210.5
26,5b_capital_return_1pct,1,0.3167,0.3216,0.24,0.24,80,0.4,0,-20697.5,25920.0,5222.5,12.0,90.0,101,0.3173,213.8
27,5b_capital_return_1pct,1,0.3217,0.3266,0.24,0.24,80,0.4,0,-21331.58,26880.0,5548.42,12.0,90.0,101,0.3223,217.1
28,5b_capital_return_1pct,1,0.3266,0.3315,0.24,0.24,80,0.4,0,-21958.55,27840.0,5881.45,12.0,90.0,101,0.3272,220.4
29,5b_capital_return_1pct,1,0.3316,0.3359,0.24,0.24,80,0.4,0,-22578.49,28800.0,6221.51,12.0,90.0,101,0.3321,223.6
30,5b_capital_return_1pct,1,0.336,0.3398,0.24,0.24,80,0.4,0,-23095.45,29664.0,6568.55,12.0,90.0,101,0.3365,226.3
31,5b_capital_return_1pct,1,0.3399,0.3432,0.24,0.24,80,0.4,0,-23508.66,30432.0,6923.34,12.0,90.0,101,0.3404,228.6
32,5b_capital_return_1pct,1,0.3432,0.346,0.24,0.24,80,0.4,0,-23824.48,31104.0,7279.52,12.0,90.0,100,0.3437,230.3
33,5b_capital_return_1pct,1,0.346,0.3483,0.24,0.24,80,0.4,0,-24040.31,31680.0,7639.69,12.0,90.0,99,0.3465,231.5
34,5b_capital_return_1pct,1,0.3483,0.3501,0.24,0.24,80,0.4,0,-24158.9,32160.0,8001.1,12.0,90.0,99,0.3488,232.3
35,5b_capital_return_1pct,1,0.3491,0.3505,0.24,0.24,80,0.4,0,-24179.13,32544.0,8364.87,12.0,90.0,99,0.3496,233.0
36,5b_capital_return_1pct,1,0.3495,0.3504,0.24,0.24,80,0.4,0,-24101.98,32832.0,8730.02,12.0,90.0,99,0.35,233.2
37,5b_capital_return_1pct,1,0.3494,0.3498,0.24,0.24,80,0.4,0,-23928.43,33024.0,9095.57,12.0,90.0,99,0.3499,232.9
38,5b_capital_return_1pct,1,0.3488,0.3488,0.24,0.24,0,0.0,80,-23659.43,33120.0,9460.57,12.0,90.0,99,0.3493,232.2
39,5b_capital_return_1pct,1,0.3341,0.321,0.21,0.155,48,0.24,80,-23871.96,33696.0,9824.04,12.0,90.0,99,0.3347,233.8
40,5b_capital_return_1pct,1,0.3198,0.3073,0.155,0.1,48,0.24,80,-24086.95,34272.0,10185.05,12.0,90.0,99,0.3204,235.5
41,5b_capital_return_1pct,1,0.3061,0.2943,0.1,0.02,48,0.24,80,-24304.4,34848.0,10543.6,12.0,90.0,99,0.3067,237.2
42,5b_capital_return_1pct,1,0.2931,0.2822,0.02,0.02,48,0.24,80,-24524.29,35424.0,10899.71,12.0,90.0,99,0.2937,238.9
43,5b_capital_return_1pct,1,0.281,0.271,0.02,0.01,48,0.24,80,-24746.59,36000.0,11253.41,12.0,90.0,99,0.2816,240.5
44,5b_capital_return_1pct,1,0.2697,0.2605,0.01,0.01,48,0.24,80,-24971.3,36576.0,11604.7,12.0,90.0,99,0.2703,242.2
45,5b_capital_return_1pct,1,0.2591,0.2507,0.01,0.01,48,0.24,80,-25198.4,37152.0,11953.6,12.0,90.0,99,0.2598,243.9
46,5b_capital_return_1pct,1,0.2493,0.2418,0.01,0.0,48,0.24,80,-25427.87,37728.0,12300.13,12.0,90.0,101,0.25,245.7
47,5b_capital_return_1pct,1,0.2405,0.2338,0.0,0.0,48,0.24,80,-25656.05,38304.0,12647.95,12.0,90.0,112,0.2412,247.3
48,5b_capital_return_1pct,1,0.2325,0.2267,0.0,0.0,48,0.24,80,-25864.17,38880.0,13015.83,12.0,90.0,121,0.2332,248.9
49,5b_capital_return_1pct,1,0.2255,0.2204,0.0,0.0,48,0.24,80,-26058.42,39456.0,13397.58,12.0,90.0,143,0.2262,250.5
50,5b_capital_return_1pct,1,0.2197,0.215,0.0,0.0,48,0.24,80,-26212.35,40032.0,13819.65,12.0,90.0,143,0.2203,251.9
51,5b_capital_return_1pct,1,0.2142,0.21,0.0,0.0,48,0.24,80,-26364.01,40608.0,14243.99,12.0,90.0,144,0.2147,253.3
52,5b_capital_return_1pct,1,0.2091,0.2052,0.0,0.0,48,0.24,80,-26511.47,41184.0,14672.53,12.0,90.0,145,0.2096,254.7
53,5b_capital_return_1pct,1,0.2044,0.2007,0.0,0.0,48,0.24,80,-26654.56,41760.0,15105.44,12.0,90.0,145,0.2049,256.2
54,5b_capital_return_1pct,1,0.1999,0.1963,0.0,0.0,48,0.24,80,-26795.09,42336.0,15540.91,12.0,90.0,144,0.2003,257.5
55,5b_capital_return_1pct,1,0.1955,0.1922,0.0,0.0,48,0.24,80,-26934.87,42912.0,15977.13,12.0,90.0,146,0.196,258.9
56,5b_capital_return_1pct,1,0.1914,0.1883,0.0,0.0,48,0.24,80,-27068.3,43488.0,16419.7,12.0,90.0,146,0.1918,260.3
57,5b_capital_return_1pct,1,0.1875,0.1848,0.0,0.0,48,0.24,80,-27198.99,44064.0,16865.01,12.0,90.0,145,0.188,261.7
58,5b_capital_return_1pct,1,0.184,0.1818,0.0,0.0,48,0.24,80,-27328.75,44640.0,17311.25,12.0,90.0,145,0.1845,263.0
59,5b_capital_return_1pct,1,0.181,0.1792,0.0,0.0,48,0.24,80,-27455.8,45216.0,17760.2,12.0,90.0,144,0.1815,264.4
60,5b_capital_return_1pct,1,0.1784,0.1771,0.0,0.0,48,0.24,80,-27581.93,45792.0,18210.07,12.0,90.0,144,0.1789,265.7
61,5b_capital_return_1pct,1,0.1764,0.1761,0.0,0.0,48,0.24,80,-27705.39,46368.0,18662.61,12.0,90.0,144,0.1769,267.1
62,5b_capital_return_1pct,1,0.1754,0.177,0.0,0.0,48,0.24,80,-27826.18,46944.0,19117.82,12.0,90.0,143,0.1758,268.4
63,5b_capital_return_1pct,1,0.1762,0.1796,0.0,0.0,48,0.24,80,-27946.13,47520.0,19573.87,12.0,90.0,142,0.1767,269.7
64,5b_capital_return_1pct,1,0.1788,0.1836,0.0,0.0,48,0.24,80,-28065.23,48096.0,20030.77,12.0,90.0,142,0.1793,271.0
65,5b_capital_return_1pct,1,0.1829,0.1883,0.0,0.0,48,0.24,80,-28178.1,48672.0,20493.9,12.0,90.0,142,0.1834,272.3
66,5b_capital_return_1pct,1,0.1875,0.193,0.0,0.0,48,0.24,80,-28291.96,49248.0,20956.04,12.0,90.0,142,0.188,273.6
67,5b_capital_return_1pct,1,0.1922,0.1978,0.0,0.0,48,0.24,80,-28403.23,49824.0,21420.77,12.0,90.0,142,0.1927,274.9
68,5b_capital_return_1pct,1,0.197,0.2021,0.0,0.0,48,0.24,80,-28511.92,50400.0,21888.08,12.0,90.0,142,0.1975,276.2
69,5b_capital_return_1pct,1,0.2013,0.2058,0.0,0.0,48,0.24,80,-28560.45,50918.4,22357.95,12.0,90.0,141,0.2018,277.2
70,5b_capital_return_1pct,1,0.205,0.209,0.0,0.0,48,0.24,80,-28551.21,51379.2,22827.99,12.0,90.0,141,0.2055,277.9
71,5b_capital_return_1pct,1,0.2082,0.2115,0.0,0.0,48,0.24,80,-28482.98,51782.4,23299.42,12.0,90.0,139,0.2086,278.3
72,5b_capital_return_1pct,1,0.2106,0.2134,0.0,0.0,48,0.24,80,-28359.92,52128.0,23768.08,12.0,90.0,139,0.2111,278.4
73,5b_capital_return_1pct,1,0.2126,0.2148,0.0,0.0,48,0.24,80,-28179.0,52416.0,24237.0,12.0,90.0,137,0.213,278.3
74,5b_capital_return_1pct,1,0.2139,0.2155,0.0,0.0,48,0.24,80,-27944.41,52646.4,24701.99,12.0,90.0,137,0.2144,277.8
75,5b_capital_return_1pct,1,0.2146,0.2157,0.0,0.0,48,0.24,80,-27653.09,52819.2,25166.11,12.0,90.0,137,0.2151,277.1
76,5b_capital_return_1pct,1,0.2148,0.2154,0.0,0.0,48,0.24,80,-27305.6,52934.4,25628.8,12.0,90.0,137,0.2153,276.1
77,5b_capital_return_1pct,1,0.2144,0.2144,0.0,0.0,0,0.0,128,-26900.72,52992.0,26091.28,12.0,90.0,137,0.2149,274.8
78,5b_capital_return_1pct,1,0.2135,0.2135,0.0,0.0,0,0.0,128,-26442.6,52992.0,26549.4,12.0,90.0,136,0.214,273.3
79,5b_capital_return_1pct,1,0.2125,0.2125,0.0,0.0,0,0.0,128,-25989.4,52992.0,27002.6,12.0,90.0,136,0.213,271.7
80,5b_capital_return_1pct,1,0.2116,0.2116,0.0,0.0,0,0.0,128,-25539.3,52992.0,27452.7,12.0,90.0,136,0.2121,270.2
81,5b_capital_return_1pct,1,0.2106,0.2106,0.0,0.0,0,0.0,128,-25092.27,52992.0,27899.73,12.0,90.0,136,0.2111,268.7
82,5b_capital_return_1pct,1,0.2097,0.2097,0.0,0.0,0,0.0,128,-24644.69,52992.0,28347.31,12.0,90.0,136,0.2102,267.2
83,5b_capital_return_1pct,1,0.2087,0.2087,0.0,0.0,0,0.0,128,-24203.75,52992.0,28788.25,12.0,90.0,136,0.2092,265.7
84,5b_capital_return_1pct,1,0.2077,0.2077,0.0,0.0,0,0.0,128,-23765.81,52992.0,29226.19,12.0,90.0,136,0.2082,264.2
85,5b_capital_return_1pct,1,0.2067,0.2067,0.0,0.0,0,0.0,128,-23330.86,52992.0,29661.14,12.0,90.0,136,0.2072,262.7
86,5b_capital_return_1pct,1,0.2057,0.2057,0.0,0.0,0,0.0,128,-22898.88,52992.0,30093.12,12.0,90.0,136,0.2063,261.2
87,5b_capital_return_1pct,1,0.2047,0.2047,0.0,0.0,0,0.0,128,-22469.84,52992.0,30522.16,12.0,90.0,136,0.2053,259.8
88,5b_capital_return_1pct,1,0.2037,0.2037,0.0,0.0,0,0.0,128,-22043.73,52992.0,30948.27,12.0,90.0,136,0.2043,258.3
89,5b_capital_return_1pct,1,0.2027,0.2027,0.0,0.0,0,0.0,128,-21620.52,52992.0,31371.48,12.0,90.0,136,0.2033,256.9
90,5b_capital_return_1pct,1,0.2017,0.2017,0.0,0.0,0,0.0,128,-21200.19,52992.0,31791.81,12.0,90.0,135,0.2023,255.4
91,5b_capital_return_1pct,1,0.2007,0.2007,0.0,0.0,0,0.0,128,-20784.52,52992.0,32207.48,12.0,90.0,135,0.2012,254.0
92,5b_capital_return_1pct,1,0.1997,0.1997,0.0,0.0,0,0.0,128,-20371.67,52992.0,32620.33,12.0,90.0,135,0.2002,252.6
93,5b_capital_return_1pct,1,0.1986,0.1986,0.0,0.0,0,0.0,128,-19959.82,52992.0,33032.18,12.0,90.0,135,0.1992,251.2
94,5b_capital_return_1pct,1,0.1976,0.1976,0.0,0.0,0,0.0,128,-19552.57,52992.0,33439.43,12.0,90.0,135,0.1981,249.9
95,5b_capital_return_1pct,1,0.1965,0.1965,0.0,0.0,0,0.0,128,-19148.07,52992.0,33843.93,12.0,90.0,135,0.1971,248.5
96,5b_capital_return_1pct,1,0.1955,0.1955,0.0,0.0,0,0.0,128,-18746.33,52992.0,34245.67,12.0,90.0,135,0.196,247.1
